year,week,lineup_rank,firstName,lastName,position,salary,eventId
2025,11,3,Jeff,Teat,A,45,2025-ev-41
2025,11,3,Owen,Hiltz,A,48,2025-ev-40
2025,11,3,Andrew,McAdorey,M,29,2025-ev-39
2025,11,3,Colin,Kirst,G,7,2025-ev-42
2025,11,3,Trevor,Baptiste,FO,23,2025-ev-41
2025,11,3,Garrett,Epple,D,18,2025-ev-39
2025,11,3,Tre,Leclaire,M,10,2025-ev-40
2025,11,4,Jeff,Teat,A,45,2025-ev-41
2025,11,4,Owen,Hiltz,A,48,2025-ev-40
2025,11,4,Andrew,McAdorey,M,29,2025-ev-39
2025,11,4,Colin,Kirst,G,7,2025-ev-42
2025,11,4,Trevor,Baptiste,FO,23,2025-ev-41
2025,11,4,Garrett,Epple,D,18,2025-ev-39
2025,11,4,Ross,Scott,M,22,2025-ev-40
2025,11,5,Jeff,Teat,A,45,2025-ev-41
2025,11,5,Owen,Hiltz,A,48,2025-ev-40
2025,11,5,Andrew,McAdorey,M,29,2025-ev-39
2025,11,5,Colin,Kirst,G,7,2025-ev-42
2025,11,5,Trevor,Baptiste,FO,23,2025-ev-41
2025,11,5,Garrett,Epple,D,18,2025-ev-39
2025,11,5,Matt,Traynor,M,23,2025-ev-41
2025,12,1,CJ,Kirst,A,6,2025_quarterfinal_1
2025,12,1,Kieran,McArdle,A,38,2025_quarterfinal_1
2025,12,1,Zach,Currier,M,22,2025_quarterfinal_1
2025,12,1,Andrew,McAdorey,M,32,2025_quarterfinal_2
2025,12,1,Ben,Randall,D,21,2025_quarterfinal_1
2025,12,1,Joseph,Nardella,FO,26,2025_quarterfinal_1
2025,12,1,Blaze,Riorden,G,46,2025_quarterfinal_2
2025,12,2,CJ,Kirst,A,6,2025_quarterfinal_1
2025,12,2,Emmet,Carroll,G,31,2025_quarterfinal_1
2025,12,2,Kieran,McArdle,A,38,2025_quarterfinal_1
2025,12,2,Andrew,McAdorey,M,32,2025_quarterfinal_2
2025,12,2,Zach,Currier,M,22,2025_quarterfinal_1
2025,12,2,Marcus,Hudgins,D,18,2025_quarterfinal_1
2025,12,2,Joseph,Nardella,FO,26,2025_quarterfinal_1
2025,12,3,CJ,Kirst,A,6,2025_quarterfinal_1
2025,12,3,Blaze,Riorden,G,46,2025_quarterfinal_2
2025,12,3,Kieran,McArdle,A,38,2025_quarterfinal_1
2025,12,3,Andrew,McAdorey,M,32,2025_quarterfinal_2
2025,12,3,Zach,Currier,M,22,2025_quarterfinal_1
2025,12,3,Marcus,Hudgins,D,18,2025_quarterfinal_1
2025,12,3,Joseph,Nardella,FO,26,2025_quarterfinal_1
2025,12,4,CJ,Kirst,A,6,2025_quarterfinal_1
2025,12,4,Emmet,Carroll,G,31,2025_quarterfinal_1
2025,12,4,Owen,Hiltz,A,32,2025_quarterfinal_2
