year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_win160,actualPoints
2025,4,1,Zach,Currier,WAT,ATL,M,19,0.5069,29.0
2025,4,2,Trevor,Baptiste,ATL,WAT,FO,35,0.7598,12.4
2025,4,2,TJ,Malone,WHP,CHA,A,46,0.8802,7.0
2025,4,2,Jeff,Teat,ATL,WAT,A,41,0.7505,93.0
2025,4,2,Colin,Kirst,CAN,WHP,G,20,0.765,37.0
2025,4,2,Scott,Smith,CHA,WHP,D,18,0.5621,11.0
2025,4,2,Zach,Currier,WAT,ATL,M,19,0.5069,29.0
2025,4,2,Graham,Bundy,OUT,ARC,M,20,0.3822,20.0
2025,4,3,Trevor,Baptiste,ATL,WAT,FO,35,0.7598,12.4
2025,4,3,Michael,Sowers,WAT,ATL,A,50,0.8474,22.0
2025,4,3,Colin,Kirst,CAN,WHP,G,20,0.765,37.0
2025,4,3,Scott,Smith,CHA,WHP,D,18,0.5621,11.0
2025,4,3,Tom,Schreiber,ARC,OUT,M,32,0.5457,27.0
2025,4,3,Rob,Pannell,WHP,CHA,A,23,0.6026,47.0
2025,4,3,Zach,Currier,WAT,ATL,M,19,0.5069,29.0
2025,4,4,Trevor,Baptiste,ATL,WAT,FO,35,0.7598,12.4
2025,4,4,TJ,Malone,WHP,CHA,A,46,0.8802,7.0
2025,4,4,Jeff,Teat,ATL,WAT,A,41,0.7505,93.0
2025,4,4,Colin,Kirst,CAN,WHP,G,20,0.765,37.0
2025,4,4,Scott,Smith,CHA,WHP,D,18,0.5621,11.0
2025,4,4,Zach,Currier,WAT,ATL,M,19,0.5069,29.0
2025,4,4,Grant,Ament,ARC,OUT,M,21,0.3629,5.0
2025,4,5,Brett,Dobson,ARC,OUT,G,44,1.0,32.0
2025,4,5,Trevor,Baptiste,ATL,WAT,FO,35,0.7598,12.4
2025,4,5,TJ,Malone,WHP,CHA,A,46,0.8802,7.0
2025,4,5,Scott,Smith,CHA,WHP,D,18,0.5621,11.0
2025,4,5,Rob,Pannell,WHP,CHA,A,23,0.6026,47.0
2025,4,5,Zach,Currier,WAT,ATL,M,19,0.5069,29.0
2025,4,5,Levi,Anderson,WHP,CHA,M,15,0.2662,62.0
2025,5,1,Jeff,Teat,ATL,ARC,A,49,0.7934,12.0
2025,5,1,Michael,Sowers,WAT,RED,A,50,0.8498,42.0
2025,5,1,Colin,Kirst,CAN,CHA,G,17,0.8316,35.0
2025,5,1,Trevor,Baptiste,ATL,ARC,FO,33,0.6162,40.7
2025,5,1,Zach,Currier,WAT,RED,M,19,0.6626,10.5
2025,5,1,Jack,Hannah,WAT,RED,M,22,0.4256,32.0
2025,5,1,Jack,Rowlett,CHA,CAN,D,10,0.3213,-1.0
2025,5,2,Michael,Sowers,WAT,RED,A,50,0.8498,42.0
2025,5,2,Colin,Kirst,CAN,CHA,G,17,0.8316,35.0
2025,5,2,Trevor,Baptiste,ATL,ARC,FO,33,0.6162,40.7
2025,5,2,Kieran,McArdle,WAT,RED,A,37,0.6582,25.0
2025,5,2,Zach,Currier,WAT,RED,M,19,0.6626,10.5
2025,5,2,Tom,Schreiber,ARC,ATL,M,28,0.559,-6.0
2025,5,2,Jack,Rowlett,CHA,CAN,D,10,0.3213,-1.0
2025,5,3,Michael,Sowers,WAT,RED,A,50,0.8498,42.0
2025,5,3,Colin,Kirst,CAN,CHA,G,17,0.8316,35.0
2025,5,3,Trevor,Baptiste,ATL,ARC,FO,33,0.6162,40.7
2025,5,3,Marcus,Holman,CAN,CHA,A,33,0.642,24.0
2025,5,3,Zach,Currier,WAT,RED,M,19,0.6626,10.5
2025,5,3,Tom,Schreiber,ARC,ATL,M,28,0.559,-6.0
2025,5,3,Jack,Rowlett,CHA,CAN,D,10,0.3213,-1.0
2025,5,4,Michael,Sowers,WAT,RED,A,50,0.8498,42.0
2025,5,4,Colin,Kirst,CAN,CHA,G,17,0.8316,35.0
2025,5,4,Trevor,Baptiste,ATL,ARC,FO,33,0.6162,40.7
2025,5,4,Kieran,McArdle,WAT,RED,A,37,0.6582,25.0
2025,5,4,Zach,Currier,WAT,RED,M,19,0.6626,10.5
2025,5,4,Tom,Schreiber,ARC,ATL,M,28,0.559,-6.0
2025,5,4,Tyler,Carpenter,ATL,ARC,D,11,0.2966,3.0
2025,5,5,Michael,Sowers,WAT,RED,A,50,0.8498,42.0
2025,5,5,Chris,Kavanagh,RED,OUT,A,42,0.6286,12.0
2025,5,5,Colin,Kirst,CAN,CHA,G,17,0.8316,35.0
2025,5,5,Trevor,Baptiste,ATL,ARC,FO,33,0.6162,40.7
2025,5,5,Zach,Currier,WAT,RED,M,19,0.6626,10.5
2025,5,5,Tom,Schreiber,ARC,ATL,M,28,0.559,-6.0
2025,5,5,Jack,Rowlett,CHA,CAN,D,10,0.3213,-1.0
2025,7,1,Connor,Shellenberger,ATL,CAN,A,42,0.8817,70.0
2025,7,1,Brett,Dobson,ARC,WAT,G,41,1.0,35.0
2025,7,1,Trevor,Baptiste,ATL,CAN,FO,35,0.7037,17.6
2025,7,1,Rob,Pannell,WHP,OUT,A,32,0.6818,10.0
2025,7,1,Tom,Schreiber,ARC,WAT,M,22,0.5995,38.0
2025,7,1,Zach,Currier,WAT,ARC,M,16,0.6861,11.3
2025,7,1,Scott,Smith,CHA,RED,D,8,0.3229,0.0
2025,7,2,Connor,Shellenberger,ATL,CAN,A,42,0.8817,70.0
2025,7,2,Brett,Dobson,ARC,WAT,G,41,1.0,35.0
2025,7,2,Trevor,Baptiste,ATL,CAN,FO,35,0.7037,17.6
2025,7,2,Tom,Schreiber,ARC,WAT,M,22,0.5995,38.0
2025,7,2,Zach,Currier,WAT,ARC,M,16,0.6861,11.3
2025,7,2,Garrett,Epple,CAN,ATL,D,24,0.5201,19.0
2025,7,2,Mac,O'Keefe,ARC,WAT,A,15,0.4716,20.0
2025,7,3,Connor,Shellenberger,ATL,CAN,A,42,0.8817,70.0
2025,7,3,Brett,Dobson,ARC,WAT,G,41,1.0,35.0
2025,7,3,Trevor,Baptiste,ATL,CAN,FO,35,0.7037,17.6
2025,7,3,Rob,Pannell,WHP,OUT,A,32,0.6818,10.0
2025,7,3,Tom,Schreiber,ARC,WAT,M,22,0.5995,38.0
2025,7,3,Zach,Currier,WAT,ARC,M,16,0.6861,11.3
2025,7,3,Jack,Rowlett,CHA,RED,D,8,0.3058,10.0
2025,7,4,Connor,Shellenberger,ATL,CAN,A,42,0.8817,70.0
2025,7,4,Brett,Dobson,ARC,WAT,G,41,1.0,35.0
2025,7,4,Trevor,Baptiste,ATL,CAN,FO,35,0.7037,17.6
2025,7,4,Kieran,McArdle,WAT,ARC,A,36,0.6608,20.0
2025,7,4,Tom,Schreiber,ARC,WAT,M,22,0.5995,38.0
2025,7,4,Zach,Currier,WAT,ARC,M,16,0.6861,11.3
2025,7,4,Scott,Smith,CHA,RED,D,8,0.3229,0.0
2025,7,5,Connor,Shellenberger,ATL,CAN,A,42,0.8817,70.0
2025,7,5,Brett,Dobson,ARC,WAT,G,41,1.0,35.0
2025,7,5,Trevor,Baptiste,ATL,CAN,FO,35,0.7037,17.6
2025,7,5,Rob,Pannell,WHP,OUT,A,32,0.6818,10.0
2025,7,5,Zach,Currier,WAT,ARC,M,16,0.6861,11.3
2025,7,5,Garrett,Epple,CAN,ATL,D,24,0.5201,19.0
2025,7,5,Tre,Leclaire,ARC,WAT,M,10,0.3759,23.0
2025,8,1,Brett,Dobson,ARC,CHA,G,40,1.0,45.0
2025,8,1,Jeff,Teat,ATL,RED,A,42,0.7788,56.0
2025,8,1,Asher,Nolting,CAN,OUT,A,36,0.7295,45.0
2025,8,1,Trevor,Baptiste,ATL,RED,FO,30,0.637,11.3
2025,8,1,Zach,Currier,WAT,WHP,M,18,0.5329,32.0
2025,8,1,Jonathan,Donville,OUT,CAN,M,2,0.4126,2.0
2025,8,1,Ethan,Rall,CAN,OUT,D,26,0.4455,9.0
2025,8,2,Brett,Dobson,ARC,CHA,G,40,1.0,45.0
2025,8,2,Jeff,Teat,ATL,RED,A,42,0.7788,56.0
2025,8,2,TJ,Malone,WHP,WAT,A,41,0.7276,52.0
2025,8,2,Trevor,Baptiste,ATL,RED,FO,30,0.637,11.3
2025,8,2,Zach,Currier,WAT,WHP,M,18,0.5329,32.0
2025,8,2,Jonathan,Donville,OUT,CAN,M,2,0.4126,2.0
2025,8,2,Ethan,Rall,CAN,OUT,D,26,0.4455,9.0
2025,8,3,Brett,Dobson,ARC,CHA,G,40,1.0,45.0
2025,8,3,Asher,Nolting,CAN,OUT,A,36,0.7295,45.0
2025,8,3,Michael,Sowers,WAT,WHP,A,48,0.7763,40.0
2025,8,3,Trevor,Baptiste,ATL,RED,FO,30,0.637,11.3
2025,8,3,Zach,Currier,WAT,WHP,M,18,0.5329,32.0
2025,8,3,Jonathan,Donville,OUT,CAN,M,2,0.4126,2.0
2025,8,3,Ethan,Rall,CAN,OUT,D,26,0.4455,9.0
2025,8,4,Brett,Dobson,ARC,CHA,G,40,1.0,45.0
2025,8,4,TJ,Malone,WHP,WAT,A,41,0.7276,52.0
2025,8,4,Asher,Nolting,CAN,OUT,A,36,0.7295,45.0
2025,8,4,Trevor,Baptiste,ATL,RED,FO,30,0.637,11.3
2025,8,4,Zach,Currier,WAT,WHP,M,18,0.5329,32.0
2025,8,4,Jonathan,Donville,OUT,CAN,M,2,0.4126,2.0
2025,8,4,Ethan,Rall,CAN,OUT,D,26,0.4455,9.0
2025,8,5,Brett,Dobson,ARC,CHA,G,40,1.0,45.0
2025,8,5,Jeff,Teat,ATL,RED,A,42,0.7788,56.0
2025,8,5,Marcus,Holman,CAN,OUT,A,31,0.6547,51.0
2025,8,5,Trevor,Baptiste,ATL,RED,FO,30,0.637,11.3
2025,8,5,Tom,Schreiber,ARC,CHA,M,26,0.5504,-4.0
2025,8,5,Jonathan,Donville,OUT,CAN,M,2,0.4126,2.0
2025,8,5,Ethan,Rall,CAN,OUT,D,26,0.4455,9.0
2025,9,1,Brett,Dobson,ARC,RED,G,40,1.0,43.0
2025,9,1,Jeff,Teat,ATL,WHP,A,44,0.7883,51.0
2025,9,1,TJ,Malone,WHP,ATL,A,42,0.7577,12.0
2025,9,1,Zach,Currier,WAT,CHA,M,19,0.6137,25.5
2025,9,1,Tom,Schreiber,ARC,RED,M,22,0.5456,15.0
2025,9,1,Trevor,Baptiste,ATL,WHP,FO,28,0.5023,10.1
2025,9,1,Greg,Weyl,OUT,ARC,D,2,0.3756,1.0
2025,9,2,Brett,Dobson,ARC,RED,G,40,1.0,43.0
2025,9,2,Jeff,Teat,ATL,WHP,A,44,0.7883,51.0
2025,9,2,TJ,Malone,WHP,ATL,A,42,0.7577,12.0
2025,9,2,TD,Ierlan,RED,ARC,FO,29,0.4837,13.4
2025,9,2,Zach,Currier,WAT,CHA,M,19,0.6137,25.5
2025,9,2,Tom,Schreiber,ARC,RED,M,22,0.5456,15.0
2025,9,2,Greg,Weyl,OUT,ARC,D,2,0.3756,1.0
2025,9,3,Brett,Dobson,ARC,RED,G,40,1.0,43.0
2025,9,3,Jeff,Teat,ATL,WHP,A,44,0.7883,51.0
2025,9,3,Michael,Sowers,WAT,CHA,A,48,0.7875,9.0
2025,9,3,Zach,Currier,WAT,CHA,M,19,0.6137,25.5
2025,9,3,Trevor,Baptiste,ATL,WHP,FO,28,0.5023,10.1
2025,9,3,Greg,Weyl,OUT,ARC,D,2,0.3756,1.0
2025,9,3,Jared,Bernhardt,OUT,ARC,M,15,0.476,-15.0
2025,9,4,Brett,Dobson,ARC,RED,G,40,1.0,43.0
2025,9,4,Jeff,Teat,ATL,WHP,A,44,0.7883,51.0
2025,9,4,Michael,Sowers,WAT,CHA,A,48,0.7875,9.0
2025,9,4,TD,Ierlan,RED,ARC,FO,29,0.4837,13.4
