year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_p90,actualPoints
2025,4,2,Logan,McNaney,OUT,ARC,G,36,70.40323149968633,41.0
2025,4,2,Trevor,Baptiste,ATL,WAT,FO,35,77.33585578402305,12.4
2025,4,2,Jeff,Teat,ATL,WAT,A,41,74.41699591795764,93.0
2025,4,2,Scott,Smith,CHA,WHP,D,18,71.40667742477221,11.0
2025,4,2,Tom,Schreiber,ARC,OUT,M,32,54.64265002462429,27.0
2025,4,2,Mac,O'Keefe,ARC,OUT,A,15,57.17376475553625,22.0
2025,4,2,Graham,Bundy,OUT,ARC,M,20,46.1720741569706,20.0
2025,4,3,Logan,McNaney,OUT,ARC,G,36,70.40323149968633,41.0
2025,4,3,Trevor,Baptiste,ATL,WAT,FO,35,77.33585578402305,12.4
2025,4,3,Jeff,Teat,ATL,WAT,A,41,74.41699591795764,93.0
2025,4,3,Scott,Smith,CHA,WHP,D,18,71.40667742477221,11.0
2025,4,3,Tom,Schreiber,ARC,OUT,M,32,54.64265002462429,27.0
2025,4,3,Mac,O'Keefe,ARC,OUT,A,15,57.17376475553625,22.0
2025,4,3,Ross,Scott,CHA,WHP,M,19,45.82518087084523,-3.0
2025,4,4,Logan,McNaney,OUT,ARC,G,36,70.40323149968633,41.0
2025,4,4,Trevor,Baptiste,ATL,WAT,FO,35,77.33585578402305,12.4
2025,4,4,Connor,Shellenberger,ATL,WAT,A,46,76.3447872937854,25.0
2025,4,4,Scott,Smith,CHA,WHP,D,18,71.40667742477221,11.0
2025,4,4,Zach,Currier,WAT,ATL,M,19,47.81705806937347,29.0
2025,4,4,Mac,O'Keefe,ARC,OUT,A,15,57.17376475553625,22.0
2025,4,4,JJ,Sillstrop,CHA,WHP,M,28,49.55391840347969,8.0
2025,4,5,Logan,McNaney,OUT,ARC,G,36,70.40323149968633,41.0
2025,4,5,Trevor,Baptiste,ATL,WAT,FO,35,77.33585578402305,12.4
2025,4,5,Jeff,Teat,ATL,WAT,A,41,74.41699591795764,93.0
2025,4,5,Tom,Schreiber,ARC,OUT,M,32,54.64265002462429,27.0
2025,4,5,Kenny,Brower,WAT,ATL,D,21,66.63225648613182,1.0
2025,4,5,Zach,Currier,WAT,ATL,M,19,47.81705806937347,29.0
2025,4,5,Mac,O'Keefe,ARC,OUT,A,15,57.17376475553625,22.0
2025,5,1,Logan,McNaney,OUT,RED,G,41,75.32134643126783,44.0
2025,5,1,Jeff,Teat,ATL,ARC,A,49,90.2494310100012,12.0
2025,5,1,Trevor,Baptiste,ATL,ARC,FO,33,59.2791627957786,40.7
2025,5,1,Zach,Currier,WAT,RED,M,19,54.0585180295875,10.5
2025,5,1,Mac,O'Keefe,ARC,ATL,A,17,61.58314497178419,23.0
2025,5,1,Kenny,Brower,WAT,RED,D,23,49.17123878660371,1.0
2025,5,1,Jared,Bernhardt,OUT,RED,M,15,53.939918667678775,29.0
2025,5,2,Logan,McNaney,OUT,RED,G,41,75.32134643126783,44.0
2025,5,2,Jeff,Teat,ATL,ARC,A,49,90.2494310100012,12.0
2025,5,2,Trevor,Baptiste,ATL,ARC,FO,33,59.2791627957786,40.7
2025,5,2,Zach,Currier,WAT,RED,M,19,54.0585180295875,10.5
2025,5,2,Mac,O'Keefe,ARC,ATL,A,17,61.58314497178419,23.0
2025,5,2,Jared,Bernhardt,OUT,RED,M,15,53.939918667678775,29.0
2025,5,2,Marcus,Hudgins,WAT,RED,D,23,49.019809438272446,11.0
2025,5,3,Logan,McNaney,OUT,RED,G,41,75.32134643126783,44.0
2025,5,3,Jeff,Teat,ATL,ARC,A,49,90.2494310100012,12.0
2025,5,3,Trevor,Baptiste,ATL,ARC,FO,33,59.2791627957786,40.7
2025,5,3,Andrew,McAdorey,RED,WAT,M,38,68.30240573354986,9.0
2025,5,3,Mac,O'Keefe,ARC,ATL,A,17,61.58314497178419,23.0
2025,5,3,Jared,Bernhardt,OUT,RED,M,15,53.939918667678775,29.0
2025,5,3,Bryce,Young,CAN,CHA,D,6,31.14769139675273,10.0
2025,5,4,Logan,McNaney,OUT,RED,G,41,75.32134643126783,44.0
2025,5,4,Jeff,Teat,ATL,ARC,A,49,90.2494310100012,12.0
2025,5,4,Trevor,Baptiste,ATL,ARC,FO,33,59.2791627957786,40.7
2025,5,4,Zach,Currier,WAT,RED,M,19,54.0585180295875,10.5
2025,5,4,Mac,O'Keefe,ARC,ATL,A,17,61.58314497178419,23.0
2025,5,4,Jared,Bernhardt,OUT,RED,M,15,53.939918667678775,29.0
2025,5,4,Ben,Ramsey,CAN,CHA,D,21,43.94805028873791,14.0
2025,5,5,Jeff,Teat,ATL,ARC,A,49,90.2494310100012,12.0
2025,5,5,Trevor,Baptiste,ATL,ARC,FO,33,59.2791627957786,40.7
